fetch_timestamp,city,country,lat,lon,forecast_datetime,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_pct,visibility,pop,rain_3h_mm,weather_main,weather_description,part_of_day,hour,day_of_week,is_weekend,month,temp_range_c,feels_like_delta_c,is_raining,is_snowing,is_daytime,temp_category,temp_rolling_avg_9h
2026-07-25 13:23:28.009715+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-30 12:00:00,35.27,42.27,35.27,35.27,994,60,7.14,333,8.52,8,10000.0,0.0,0.0,Clear,clear sky,d,12,Thursday,False,7,0.0,7.0,False,False,True,hot,36.01666666666667
2026-07-25 16:04:17.446149+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-30 15:00:00,34.49,41.49,34.49,34.49,994,68,8.0,317,10.73,83,10000.0,0.0,0.0,Clouds,broken clouds,d,15,Thursday,False,7,0.0,7.0,False,False,True,hot,35.49666666666667
2026-07-25 19:05:55.674647+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-30 18:00:00,34.25,41.25,34.25,34.25,996,69,3.48,12,3.69,64,10000.0,0.0,0.0,Clouds,broken clouds,n,18,Thursday,False,7,0.0,7.0,False,False,False,hot,34.67000000000001
2026-07-25 21:55:45.919753+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-30 21:00:00,33.38,40.38,33.38,33.38,994,72,3.53,6,4.38,3,10000.0,0.0,0.0,Clear,clear sky,n,21,Thursday,False,7,0.0,7.0,False,False,False,hot,34.04
2026-07-26 02:39:15.988267+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 00:00:00,33.33,40.33,33.33,33.33,994,71,4.14,36,5.07,22,10000.0,0.0,0.0,Clouds,few clouds,n,0,Friday,False,7,0.0,7.0,False,False,False,hot,33.653333333333336
2026-07-26 06:04:26.303858+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 03:00:00,33.22,40.22,33.22,33.22,995,68,3.18,62,3.8,36,10000.0,0.0,0.0,Clouds,scattered clouds,d,3,Friday,False,7,0.0,7.0,False,False,True,hot,33.31
2026-07-26 10:44:56.851532+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 06:00:00,36.28,42.5,36.28,36.28,996,47,3.14,137,3.76,12,10000.0,0.0,0.0,Clouds,few clouds,d,6,Friday,False,7,0.0,6.219999999999999,False,False,True,hot,34.27666666666667
2026-07-26 10:44:56.851532+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 09:00:00,37.67,44.05,37.67,37.67,994,43,2.69,319,2.37,66,10000.0,0.0,0.0,Clouds,broken clouds,d,9,Friday,False,7,0.0,6.3799999999999955,False,False,True,hot,35.723333333333336
2026-07-26 13:19:10.781898+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 12:00:00,34.34,41.34,34.34,34.34,993,67,7.43,346,8.93,75,10000.0,0.0,0.0,Clouds,broken clouds,d,12,Friday,False,7,0.0,7.0,False,False,True,hot,36.09666666666667
2026-07-26 16:01:06.320208+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 15:00:00,34.32,41.32,34.32,34.32,994,72,6.7,22,9.24,36,10000.0,0.0,0.0,Clouds,scattered clouds,d,15,Friday,False,7,0.0,7.0,False,False,True,hot,35.443333333333335
2026-07-26 19:09:09.256010+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 18:00:00,34.82,41.82,34.82,34.82,995,66,4.68,27,6.16,62,10000.0,0.0,0.0,Clouds,broken clouds,n,18,Friday,False,7,0.0,7.0,False,False,False,hot,34.49333333333333
2026-07-26 21:59:22.539047+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-07-31 21:00:00,33.52,40.52,33.52,33.52,994,76,3.33,359,3.91,7,10000.0,0.0,0.0,Clear,clear sky,n,21,Friday,False,7,0.0,7.0,False,False,False,hot,34.220000000000006
2026-07-27 02:47:42.408887+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 00:00:00,33.52,40.52,33.52,33.52,994,72,5.02,25,6.43,16,10000.0,0.0,0.0,Clouds,few clouds,n,0,Saturday,True,8,0.0,7.0,False,False,False,hot,33.95333333333334
2026-07-27 06:30:03.931810+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 03:00:00,33.78,40.78,33.78,33.78,996,64,5.59,71,7.81,86,10000.0,0.0,0.0,Clouds,overcast clouds,d,3,Saturday,True,8,0.0,7.0,False,False,True,hot,33.606666666666676
2026-07-27 06:30:03.931810+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 06:00:00,37.06,42.61,37.06,37.06,996,43,4.76,126,5.45,57,10000.0,0.0,0.0,Clouds,broken clouds,d,6,Saturday,True,8,0.0,5.549999999999997,False,False,True,hot,34.78666666666667
2026-07-27 12:22:59.964272+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 09:00:00,37.64,44.64,37.64,37.64,995,45,1.78,313,1.44,34,10000.0,0.0,0.0,Clouds,scattered clouds,d,9,Saturday,True,8,0.0,7.0,False,False,True,hot,36.160000000000004
2026-07-27 12:22:59.964272+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 12:00:00,37.8,44.8,37.8,37.8,994,44,5.48,336,5.45,22,10000.0,0.0,0.0,Clouds,few clouds,d,12,Saturday,True,8,0.0,7.0,False,False,True,hot,37.50000000000001
2026-07-27 16:57:17.103869+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 15:00:00,34.37,41.37,34.37,34.37,995,70,7.07,34,9.4,14,10000.0,0.0,0.0,Clouds,few clouds,d,15,Saturday,True,8,0.0,7.0,False,False,True,hot,36.60333333333333
2026-07-27 19:26:32.171342+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 18:00:00,35.16,42.16,35.16,35.16,996,61,5.18,29,6.19,51,10000.0,0.0,0.0,Clouds,broken clouds,n,18,Saturday,True,8,0.0,7.0,False,False,False,hot,35.77666666666667
2026-07-27 22:06:18.951762+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-01 21:00:00,35.04,42.04,35.04,35.04,996,57,4.19,40,5.18,26,10000.0,0.0,0.0,Clouds,scattered clouds,n,21,Saturday,True,8,0.0,7.0,False,False,False,hot,34.85666666666666
2026-07-28 02:26:23.123222+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 00:00:00,34.37,41.37,34.37,34.37,996,65,4.64,13,5.14,79,10000.0,0.0,0.0,Clouds,broken clouds,n,0,Sunday,True,8,0.0,7.0,False,False,False,hot,34.85666666666666
2026-07-28 05:46:15.025963+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 03:00:00,34.24,41.24,34.24,34.24,999,59,3.4,70,3.84,74,10000.0,0.0,0.0,Clouds,broken clouds,d,3,Sunday,True,8,0.0,7.0,False,False,True,hot,34.550000000000004
2026-07-28 08:32:36.954925+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 06:00:00,34.77,41.77,34.77,34.77,999,60,3.6,1,3.53,100,10000.0,0.0,0.0,Clouds,overcast clouds,d,6,Sunday,True,8,0.0,7.0,False,False,True,hot,34.46000000000001
2026-07-28 11:16:53.429973+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 09:00:00,35.83,42.71,35.83,35.83,999,50,3.96,344,4.09,94,10000.0,0.0,0.0,Clouds,overcast clouds,d,9,Sunday,True,8,0.0,6.880000000000003,False,False,True,hot,34.946666666666665
2026-07-28 14:04:24.757351+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 12:00:00,35.02,42.02,35.02,35.02,998,62,4.21,37,4.79,75,10000.0,0.0,0.0,Clouds,broken clouds,d,12,Sunday,True,8,0.0,7.0,False,False,True,hot,35.20666666666667
2026-07-28 16:40:58.299829+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 15:00:00,35.63,42.63,35.63,35.63,998,53,3.11,341,3.28,76,10000.0,0.0,0.0,Clouds,broken clouds,d,15,Sunday,True,8,0.0,7.0,False,False,True,hot,35.49333333333334
2026-07-28 19:21:45.926407+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 18:00:00,34.23,41.23,34.23,34.23,998,68,2.67,37,2.74,97,10000.0,0.0,0.0,Clouds,overcast clouds,n,18,Sunday,True,8,0.0,7.0,False,False,False,hot,34.96
2026-07-28 22:04:29.679401+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-02 21:00:00,34.82,41.82,34.82,34.82,997,62,2.28,213,2.34,100,10000.0,0.0,0.0,Clouds,overcast clouds,n,21,Sunday,True,8,0.0,7.0,False,False,False,hot,34.89333333333334
2026-07-29 02:30:50.995393+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 00:00:00,34.77,41.77,34.77,34.77,997,60,3.11,348,4.13,100,10000.0,0.0,0.0,Clouds,overcast clouds,n,0,Monday,False,8,0.0,7.0,False,False,False,hot,34.60666666666667
2026-07-29 05:52:20.135040+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 03:00:00,35.4,41.23,35.4,35.4,999,49,2.55,122,2.59,88,10000.0,0.0,0.0,Clouds,overcast clouds,d,3,Monday,False,8,0.0,5.829999999999998,False,False,True,hot,34.99666666666667
2026-07-29 08:39:23.587405+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 06:00:00,36.24,42.41,36.24,36.24,999,47,1.61,162,1.89,47,10000.0,0.0,0.0,Clouds,scattered clouds,d,6,Monday,False,8,0.0,6.169999999999995,False,False,True,hot,35.470000000000006
2026-07-29 11:26:13.712157+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 09:00:00,36.45,43.37,36.45,36.45,998,48,5.49,311,5.88,0,10000.0,0.0,0.0,Clear,clear sky,d,9,Monday,False,8,0.0,6.919999999999995,False,False,True,hot,36.03000000000001
2026-07-29 14:07:52.941944+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 12:00:00,34.57,41.57,34.57,34.57,997,65,7.57,349,9.4,71,10000.0,0.0,0.0,Clouds,broken clouds,d,12,Monday,False,8,0.0,7.0,False,False,True,hot,35.75333333333334
2026-07-29 16:22:01.372823+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 15:00:00,33.99,40.99,33.99,33.99,997,68,6.23,10,7.75,28,10000.0,0.0,0.0,Clouds,scattered clouds,d,15,Monday,False,8,0.0,7.0,False,False,True,hot,35.00333333333334
2026-07-29 19:14:51.114328+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 18:00:00,34.3,41.3,34.3,34.3,998,64,3.28,36,3.42,25,10000.0,0.0,0.0,Clouds,scattered clouds,n,18,Monday,False,8,0.0,7.0,False,False,False,hot,34.28666666666667
2026-07-29 22:01:20.972682+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-03 21:00:00,35.36,41.54,35.36,35.36,997,50,2.44,55,2.52,92,10000.0,0.0,0.0,Clouds,overcast clouds,n,21,Monday,False,8,0.0,6.18,False,False,False,hot,34.550000000000004
2026-07-30 02:12:46.225861+00:00,"Abu Dhabi,AE",AE,24.4667,54.3667,2026-08-04 00:00:00,33.75,40.75,33.75,33.75,998,65,5.89,18,7.31,77,10000.0,0.0,0.0,Clouds,broken clouds,n,0,Tuesday,False,8,0.0,7.0,False,False,False,hot,34.47
